Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
12/11/2020,626,5,,82,130,114,83,87,71,44,15,0,321,303,2,111,9,113,131,38,224,0,0,0,0,0,3,1,1,0,1,4,0,1,0,1,0,1,2,,,,,,,,,,,,,,,,,,
4/30/2020,"1,270",40,168,57,231,222,227,186,150,95,102,0,621,625,24,539,22,213,147,47,302,0,0,3,0,4,8,11,14,0,17,23,0,13,1,18,8,0,0,1,11,15,13,34,39,26,29,0,74,92,2,59,8,55,31,10,5
3/19/2020,184,2,39,5,34,47,36,25,18,17,2,0,86,97,1,20,10,79,63,7,5,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,2,8,9,6,11,2,0,17,22,0,4,1,25,8,1,0
6/15/2020,235,20,32,36,57,42,34,30,25,9,2,0,131,102,2,101,5,50,20,9,50,0,0,0,1,1,2,5,11,0,9,11,0,5,2,4,8,0,1,4,6,3,2,5,8,0,4,0,21,11,0,12,1,11,7,0,1
11/30/2020,"2,299",18,107,278,537,467,359,306,198,95,59,0,"1,219","1,074",6,787,53,315,371,90,683,0,0,0,1,1,3,9,4,0,7,11,0,7,0,4,7,0,0,3,12,8,9,14,21,20,20,0,58,49,0,32,9,31,25,5,5
12/3/2020,"1,987",22,84,227,501,384,314,291,149,80,40,1,"1,048",931,8,640,43,306,303,83,612,0,0,0,1,2,5,7,7,0,9,13,0,7,2,7,5,1,0,1,3,6,9,13,19,15,18,0,41,43,0,25,4,26,22,2,5
8/30/2020,100,4,22,11,24,16,18,14,8,4,5,0,49,50,1,26,1,22,31,4,16,0,0,0,0,0,0,3,1,0,3,1,0,1,0,3,0,0,0,2,2,1,2,4,4,2,5,0,8,13,1,6,0,9,5,0,2
8/14/2020,343,3,28,54,84,63,59,40,26,10,7,0,177,161,5,134,5,67,78,14,45,0,0,0,0,0,1,1,1,0,1,2,0,1,0,2,0,0,0,1,1,2,3,5,6,6,4,0,15,13,0,6,0,17,5,0,0
5/6/2020,974,43,139,55,190,161,213,169,95,53,38,0,473,467,34,465,13,146,89,41,220,0,0,1,3,5,11,9,14,0,14,29,0,13,5,13,12,0,0,2,2,10,22,24,32,26,21,0,63,76,0,46,1,50,25,15,2
11/29/2020,898,14,74,107,218,186,128,114,82,41,22,0,456,438,4,201,26,144,188,42,297,0,0,0,0,2,3,6,3,0,1,13,0,5,1,7,1,0,0,2,2,8,8,11,18,13,12,0,28,46,0,19,6,23,16,2,8
9/11/2020,335,5,20,51,90,81,39,37,20,14,3,0,166,168,1,148,4,39,77,14,53,0,0,1,0,2,0,1,1,0,0,5,0,4,0,1,0,0,0,0,2,3,1,5,5,1,3,0,9,11,0,12,1,3,4,0,0
